,state,district,delta7.vaccinated1,delta7.vaccinated2,meta.population,total.vaccinated1,total.vaccinated2,delta.vaccinated2,delta.vaccinated1,delta21_14.confirmed,delta7.confirmed,delta7.recovered,total.confirmed,total.deceased,total.recovered,delta.confirmed,delta.recovered,meta.tested.date,total.tested
0,AN,Nicobars,62.0,811.0,36842.0,25394.0,20313.0,,,,,,,,,,,,
1,AN,North and Middle Andaman,90.0,1839.0,105597.0,78945.0,59522.0,8.0,,,,,,,,,,,
2,AN,South Andaman,732.0,8012.0,238142.0,189662.0,120322.0,28.0,3.0,,,,,,,,,,
3,AN,Unknown,,,,,,,,9.0,3.0,5.0,7651.0,129.0,7518.0,,,,
4,AP,Anantapur,92803.0,140903.0,4083315.0,2690082.0,1611476.0,5370.0,4575.0,50.0,38.0,58.0,157843.0,1093.0,156699.0,4.0,5.0,2020-11-26,787085.0
5,AP,Chittoor,63824.0,119541.0,4170468.0,2832987.0,1807873.0,1306.0,878.0,631.0,516.0,629.0,246935.0,1947.0,244144.0,64.0,87.0,2020-11-26,780322.0
6,AP,East Godavari,36973.0,223236.0,5151549.0,3532220.0,1990578.0,237.0,41.0,401.0,604.0,520.0,293836.0,1290.0,291610.0,87.0,121.0,2020-11-26,944746.0
7,AP,Foreign Evacuees,,,,,,,,,,,434.0,,434.0,,,,
8,AP,Guntur,285377.0,156818.0,4889230.0,3440118.0,1891773.0,1248.0,1119.0,509.0,272.0,619.0,178068.0,1237.0,176629.0,33.0,198.0,2020-11-26,833823.0
9,AP,Krishna,75352.0,230788.0,4529009.0,2971604.0,1914927.0,337.0,51.0,405.0,422.0,467.0,119348.0,1430.0,117130.0,46.0,71.0,2020-11-26,782232.0
10,AP,Kurnool,178620.0,73119.0,4046601.0,2672759.0,1290419.0,1538.0,4716.0,31.0,25.0,26.0,124142.0,853.0,123264.0,6.0,3.0,2020-11-26,867361.0
11,AP,Other State,,,,,,,,,,,2461.0,,2461.0,,,,
12,AP,Prakasam,137338.0,130213.0,3392764.0,2321031.0,1521177.0,5872.0,3292.0,243.0,103.0,290.0,138482.0,1124.0,136989.0,6.0,37.0,2020-11-26,697340.0
13,AP,S.P.S. Nellore,96973.0,114393.0,2966082.0,2143402.0,1403240.0,1639.0,2724.0,283.0,155.0,235.0,146388.0,1053.0,144919.0,34.0,23.0,2020-11-26,682964.0
14,AP,Srikakulam,18883.0,129575.0,2699471.0,1630248.0,974734.0,6.0,2.0,47.0,132.0,72.0,123109.0,786.0,122136.0,19.0,20.0,2020-11-26,670899.0
15,AP,Visakhapatnam,65301.0,207340.0,4288113.0,2999432.0,1864960.0,2311.0,1309.0,273.0,237.0,227.0,157737.0,1127.0,156492.0,27.0,30.0,2020-11-26,744983.0
16,AP,Vizianagaram,44847.0,123576.0,2342868.0,1393491.0,996097.0,1855.0,601.0,30.0,53.0,38.0,82967.0,672.0,82231.0,7.0,11.0,2020-11-26,531433.0
17,AP,West Godavari,61021.0,146562.0,3934782.0,2525317.0,1778807.0,1884.0,878.0,171.0,234.0,246.0,179077.0,1117.0,177680.0,40.0,44.0,2020-11-26,793098.0
18,AP,Y.S.R. Kadapa,65843.0,90958.0,2884524.0,1824032.0,1328711.0,1101.0,1005.0,146.0,82.0,163.0,115623.0,644.0,114904.0,12.0,25.0,2020-11-26,671761.0
19,AR,Anjaw,45.0,452.0,21089.0,11695.0,7957.0,,,,,,1068.0,3.0,1065.0,,,2021-01-28,2845.0
20,AR,Capital Complex,,,,,,,,,,,,,,,,2020-12-24,115210.0
21,AR,Changlang,298.0,3803.0,147951.0,88857.0,55361.0,,,,3.0,3.0,3807.0,22.0,3780.0,,1.0,2021-01-28,23861.0
22,AR,East Kameng,76.0,409.0,78413.0,22931.0,15646.0,1.0,,,,,1094.0,,1094.0,,,2021-01-28,7489.0
23,AR,East Siang,365.0,2013.0,99019.0,54001.0,39434.0,,,2.0,9.0,10.0,3206.0,17.0,3183.0,,5.0,2021-01-28,21867.0
24,AR,Kamle,36.0,185.0,22256.0,6946.0,3874.0,,,,,,512.0,,512.0,,,2021-01-28,1385.0
25,AR,Kra Daadi,5.0,23.0,,6275.0,3272.0,,,,,,270.0,,270.0,,,2021-01-28,3218.0
26,AR,Kurung Kumey,27.0,255.0,89717.0,9121.0,5601.0,,,,,,511.0,1.0,510.0,,,2021-01-28,4201.0
27,AR,Lepa Rada,40.0,307.0,,13328.0,10176.0,54.0,6.0,,,1.0,874.0,3.0,871.0,,,2021-01-28,6747.0
28,AR,Lohit,221.0,1494.0,145538.0,31120.0,22003.0,,,2.0,9.0,3.0,2885.0,26.0,2851.0,,,2021-01-28,14945.0
29,AR,Longding,46.0,356.0,60000.0,19259.0,7826.0,,,,1.0,,752.0,2.0,749.0,,,2021-01-28,10342.0
30,AR,Lower Dibang Valley,171.0,931.0,53986.0,32639.0,22089.0,1.0,19.0,6.0,14.0,3.0,2426.0,11.0,2397.0,,,2021-01-28,12169.0
31,AR,Lower Siang,37.0,317.0,80597.0,16565.0,9990.0,,,,,,738.0,8.0,730.0,,,2021-01-28,7070.0
32,AR,Lower Subansiri,85.0,767.0,82839.0,26916.0,18827.0,36.0,2.0,7.0,5.0,2.0,3036.0,15.0,3015.0,,,2021-01-28,10564.0
33,AR,Namsai,209.0,2436.0,95950.0,63539.0,47104.0,,,8.0,4.0,16.0,2124.0,17.0,2102.0,,,2021-01-28,19987.0
34,AR,Pakke Kessang,25.0,262.0,,8004.0,4998.0,14.0,,1.0,,,453.0,,453.0,,,2021-01-28,3327.0
35,AR,Papum Pare,1055.0,3799.0,176385.0,141168.0,100258.0,,,22.0,7.0,12.0,18316.0,98.0,18212.0,1.0,1.0,2021-01-28,41960.0
36,AR,Shi Yomi,2.0,153.0,13310.0,6910.0,5663.0,,,3.0,1.0,10.0,262.0,,261.0,,,2021-01-28,2169.0
37,AR,Siang,40.0,197.0,31920.0,14408.0,9068.0,,,,,,411.0,3.0,408.0,,,2021-01-28,4270.0
38,AR,Tawang,91.0,759.0,49950.0,29553.0,23287.0,,,12.0,12.0,8.0,2577.0,20.0,2533.0,,,2021-01-28,14224.0
39,AR,Tirap,35.0,631.0,111997.0,31565.0,21200.0,,,,,2.0,1109.0,5.0,1102.0,,,2021-01-28,14657.0
40,AR,Upper Dibang Valley,3.0,11.0,7948.0,4156.0,2603.0,,,1.0,,1.0,337.0,2.0,335.0,,,2021-01-28,1910.0
41,AR,Upper Siang,38.0,411.0,35289.0,18594.0,13671.0,,,2.0,,2.0,1016.0,1.0,1015.0,,,2021-01-28,6564.0
42,AR,Upper Subansiri,93.0,1122.0,83205.0,24842.0,16390.0,,,,,,1958.0,6.0,1952.0,,,2021-01-28,6217.0
43,AR,West Kameng,206.0,1914.0,87013.0,55710.0,40321.0,89.0,15.0,17.0,1.0,21.0,3545.0,14.0,3518.0,,7.0,2021-01-28,28155.0
44,AR,West Siang,63.0,640.0,112272.0,33773.0,27867.0,,,4.0,,3.0,1868.0,6.0,1856.0,,-5.0,2021-01-28,13192.0
45,AS,Baksa,2992.0,15169.0,953773.0,553967.0,136574.0,172.0,39.0,,,,,,,,,,
46,AS,Barpeta,10495.0,48544.0,1693190.0,1095048.0,448006.0,1035.0,369.0,,,,,,,,,,
47,AS,Biswanath,5661.0,35727.0,612491.0,456088.0,213437.0,1655.0,507.0,,,,,,,,,,
48,AS,Bongaigaon,2784.0,18356.0,732639.0,493242.0,183782.0,1287.0,85.0,,,,,,,,,,
