,state,delta.tested,delta.vaccinated1,delta.vaccinated2,delta21_14.confirmed,delta7.confirmed,delta7.recovered,delta7.tested,delta7.vaccinated1,delta7.vaccinated2,meta.date,meta.last_updated,meta.population,meta.tested.date,meta.tested.source,meta.vaccinated.date,total.confirmed,total.deceased,total.recovered,total.tested,total.vaccinated1,total.vaccinated2,delta.confirmed,delta.deceased,delta.recovered,delta7.deceased
0,AN,1376,3,13,9,3,5,8936,884,10640,31-10-2021,2021-11-01T11:03:10+05:30,397000,31-10-2021,https://dhs.andaman.gov.in/NewEvents/851.pdf,31-10-2021,7651,129,7518,598033,294001,200157,,,,
1,AP,39848,20497,24137,3220,2873,3590,254532,1223010,1887005,31-10-2021,2021-11-01T09:54:14+05:30,52221000,31-10-2021,https://twitter.com/ArogyaAndhra/status/1454748197272711177,31-10-2021,2066450,14373,2047722,29518787,32976969,20375181,385,4,675,30
2,AR,334,42,195,87,66,97,4788,3312,23647,31-10-2021,2021-11-01T11:20:24+05:30,1504000,31-10-2021,https://twitter.com/DirHealth_ArPr/status/1454823191751233544?s=20,31-10-2021,55155,280,54774,1185436,771875,534486,1,,9,
3,AS,15060,19124,37463,1499,2056,2215,269097,274869,849889,31-10-2021,2021-11-01T09:54:14+05:30,34293000,31-10-2021,https://twitter.com/nhm_assam/status/1454837285032103940?s=20,31-10-2021,610645,5997,600974,24712042,20172463,8068795,212,1,236,24
4,BR,226443,114694,145827,30,40,31,1378539,1286708,2144970,31-10-2021,2021-11-01T09:54:14+05:30,119520000,31-10-2021,https://twitter.com/BiharHealthDept/status/1454805874447290369?s=20,31-10-2021,726098,9661,716390,50531824,49874828,18346781,8,,9,
5,CH,1403,211,1282,23,28,20,10726,3680,21641,31-10-2021,2021-11-01T09:54:14+05:30,1179000,31-10-2021,https://t.me/Covid19india_Auxiliary_Test_Data/11877,31-10-2021,65351,820,64495,792851,926035,546981,5,,3,
6,CT,11869,21312,39393,124,205,103,147451,379374,604260,31-10-2021,2021-11-01T09:54:14+05:30,28724000,31-10-2021,https://twitter.com/HealthCgGov/status/1454835690198298624?s=20,31-10-2021,1006052,13577,992159,13709510,14851682,7343273,32,1,32,5
7,DL,56751,12482,11839,195,267,239,395086,160323,269146,31-10-2021,2021-11-01T09:54:14+05:30,19814000,31-10-2021,https://t.me/Covid19india_Auxiliary_Test_Data/11885,31-10-2021,1439870,25091,1414431,29427753,13055636,7425404,45,,46,
8,DN,,3,20,4,,2,,2802,14244,31-10-2021,2021-11-01T09:54:14+05:30,959000,20-10-2020,https://dddcovid19.in/uploads/report/BulletinDNHDD20102020.pdf,31-10-2021,10681,4,10644,72410,660753,370255,,,1,
9,GA,2361,2572,12404,409,222,409,19026,8418,46494,31-10-2021,2021-11-01T09:54:14+05:30,1540000,31-10-2021,https://www.goa.gov.in/wp-content/uploads/2021/10/Media-Bulletin-31st-October-2021.pdf,31-10-2021,178108,3364,174392,1468399,1262568,911114,23,,53,6
